深圳市德嘉医疗器械有限公司	外贸业务员（B2B平台/网络推广）
深圳市程达科技有限公司	外贸业务员
深圳市大仁科技有限公司	急聘外贸业务员（阿里巴巴）
深圳彩诺科技有限公司	外贸业务员
深圳市大阳实业发展有限公司	外贸业务员/消费类电子
森骏卓越精密模具（深圳）有限公司...	外贸销售工程师
深圳市百合隆工艺制品有限公司	外贸业务员/销售 坪山新区上班
深圳虹辉实业有限公司	外贸业务员
深圳起之秀国际贸易有限公司	外贸业务员
深圳市兴佳维诚电子有限公司	外贸跟单员
深圳市百马汇咨询服务有限公司	外贸助理
深圳市深贸发陶瓷有限公司	外贸跟单员
广东奥博特实业有限公司	外贸业务员
深圳市蓝图科创科技有限公司	外贸业务员
深圳宝联贸易有限公司	船务文员/物流专员/外贸跟单
深圳市龙之杰电子有限公司	外贸专员
深圳市爱德泰科技有限公司	外贸业务员
深圳市中德利科技有限公司	外贸业务员 （双休+包住）
深圳市奇洛普科技有限公司	外贸业务员
深圳市深蓝鼠飚科技有限公司	外贸助理
深圳市盛仕达电子有限公司	外贸专员
深圳市宇拓科技有限公司	产品编辑外贸销售助理
华强眼镜（深圳）有限公司	外贸业务员/外贸跟单（急聘）
深圳市朗韵乐器有限公司	外贸业务助理
深圳市宜视安科技有限公司	B2B外贸业务员（氛围好+提成高+海外参展机会）
深圳市熙锐网络科技有限公司	西语、法语、德语、英语、意大利语外贸销售员
深圳市金�A贵材科技有限公司	外贸跟单主管
深圳市凌吟科技有限公司	亚马逊外贸专员
深圳市川特电子科技有限公司	外贸业务
深圳市力容电子有限公司	外贸助理/专员
深圳市泽维尔精密组件有限公司	外贸业务 急聘（包吃住）
深圳市麦蜂科技有限公司	外贸业务员（急聘+高薪）
深圳市铭正阳电子有限公司	外贸专员
深圳市嘉伟亿科技有限公司	韩语销售（外贸专员、韩国市场销售）
合联国际企业有限公司	外贸跟单员
湘林电子（香港）有限公司	外贸业务员
深圳市特和实业有限公司	B2B外贸业务员（双休+入职买社保）
深圳市盛世盟科技发展有限公司	外贸业务员-清湖地铁站附近
深圳泛亚运通国际货运代理有限公司...	外贸业务员
深圳市兴锦轩进出口有限公司	外贸业务员
深圳市粹联科技开发有限公司	外贸业务员
深圳市裕福华手袋制品有限公司	外贸B2B销售
深圳梦达国际商贸有限公司	亚马逊外贸业务员+无责任底薪高提成+应届生可接受
深圳市亿配电子商务有限公司	wish运营/wish销售/外贸运营/外贸销售
深圳飞音时代网络通讯技术有限公司...	外贸业务员（网络通讯设备，五险一金+国外参展机会）
深圳市皓华网络科技有限公司	亚马逊销售/外贸业务员
深圳市昂威手袋有限公司	亚马逊销售 /外贸销售员 （英语、日语、德语）
深圳市雷明电子有限公司	外贸业务员/外贸销售（高薪）
深圳市禧伽贸易有限公司	外贸单证员
鸿福泰电子科技（深圳）有限公司	外贸跟单员
深圳市易霸科技有限公司	外贸业务员
深圳市美诺电子商务有限公司	国际贸易专员/国际业务员
深圳市达博六号供应链管理有限公司...	销售精英（进口服务方向）
深圳市玖福电子商务有限公司	亚马逊运营（日语）
深圳市沃恩德溢光电科技有限公司	阿里巴巴国际站运营
深圳市颉沃创新科技有限公司	亚马逊管培生/储备/英语/日语/德语
万博时代（深圳）科技有限公司	亚马逊客服经理
深圳市杰瑟普商贸有限公司	Shoppe销售
深圳市海吉星冷链股份有限公司	审单专员
深圳市概念智慧科技有限公司	外贸业务员/外贸销售/国际贸易/国际销售/阿里巴巴运营
深圳市捷泰技术有限公司	资深亚马逊销售  amazon运营
深圳市政元软件有限公司	销售业务员
深圳雷炎科技有限公司	海外区域销售经理
深圳市东华计量检测技术有限公司	电话销售
深圳爱世奇服饰有限公司	行政前台文员急招
深圳市智傲商贸有限公司	亚马逊销售（福利好+周末双休）
深圳市光中道电子有限公司	急聘外贸业务员/海外销售/国际业务员/海外销售工程师
深圳泽谷网络科技有限公司	Amazon亚马逊运营销售/精品（民治地铁）
深圳市百为视讯电子有限公司	海外销售工程师
深圳市欣视景科技股份有限公司	商务专员 英语
深圳市聚友电子商务有限公司	法语网站编辑推广
深圳市腾凯电子商务有限公司	Ebay销售
深圳市翠特科技有限公司	亚马逊日语销售
无锡睿米信息技术有限公司	海外销售经理(深圳）
深圳市泰普森科技有限公司	业务专员
深圳市易拓时代科技有限公司	wish销售主管/运营主管
四星（深圳）贸易有限公司	产品开发 PD Specialist
深圳市富皇美运国际商贸物流有限公...	货代海外销售
深圳侨云科技股份有限公司	应届生
深圳市卓禾仪器有限公司	研发部经理
深圳市沃菲德户外用品有限公司	总经理秘书/助理
深圳市乐其网络科技有限公司	亚马逊运营助理（精品 应届生）
深圳乐行天下科技有限公司	海外客服
深圳市迅光智能科技有限公司	facebook运营推广
深圳市科奈信科技有限公司	销售助理――KAD
深圳市易尚光伏科技有限公司	ebay运营主管 ebay销售主管
深圳市欧提克电子科技有限公司	亚马逊CPC广告投放员（包中餐）
